"user_id","full_name","email","order_id","order_date","item_id","item_product_name","quantity","price","total_amount","product_product_name","category","stock_quantity"
"1001","John Doe","john.doe@email.com","5001","2024-01-15","B456","Mouse","2","25.0","1250.0","Mouse","Electronics","200"
"1001","John Doe","john.doe@email.com","5001","2024-01-15","A123","Laptop","1","1200.0","1250.0","Laptop","Electronics","50"
"1002","Jane Smith","jane.smith@email.com","5002","2024-01-16","C789","Keyboard","1","75.0","75.0","Keyboard","Electronics","150"
"1003","Alice Johnson","alice.johnson@email.com","5003","2024-01-17","D012","Monitor","2","200.0","400.0","Monitor","Electronics","70"
"1004","Bob Williams","bob.williams@email.com","5004","2024-01-18","E345","Printer","1","150.0","150.0","Printer","Electronics","30"
"1005","Emily Brown","emily.brown@email.com","5005","2024-01-19","F678","Tablet","1","300.0","300.0","Tablet","Electronics","60"
"1006","Chris Davis","chris.davis@email.com","5006","2024-01-20","G901","Headphones","1","100.0","100.0","Headphones","Electronics","100"
"1007","David Miller","david.miller@email.com","5007","2024-01-21","H234","Webcam","1","50.0","50.0","Webcam","Electronics","80"
"1008","Olivia Moore","olivia.moore@email.com","5008","2024-01-22","I567","Smartphone","1","700.0","700.0","Smartphone","Electronics","40"
"1009","Sophia Taylor","sophia.taylor@email.com","5009","2024-01-23","J890","External Hard Drive","1","150.0","150.0","External Hard Drive","Electronics","90"
"1010","James Anderson","james.anderson@email.com","5010","2024-01-24","K123","USB Flash Drive","3","30.0","90.0","USB Flash Drive","Electronics","300"
"1011","Liam Thomas","liam.thomas@email.com","5011","2024-01-25","L456","Smartwatch","1","200.0","200.0","Smartwatch","Electronics","50"
"1012","Charlotte White","charlotte.white@email.com","5012","2024-01-26","M789","Bluetooth Speaker","1","120.0","120.0","Bluetooth Speaker","Electronics","80"
"1013","Isabella Martinez","isabella.martinez@email.com","5013","2024-01-27","N012","Camera","1","600.0","600.0","Camera","Electronics","20"
"1014","Mason Hernandez","mason.hernandez@email.com","5014","2024-01-28","O345","Drone","1","400.0","400.0","Drone","Electronics","25"
"1015","Mia Lopez","mia.lopez@email.com","5015","2024-01-29","P678","VR Headset","1","250.0","250.0","VR Headset","Electronics","30"
"1016","Lucas Gonzalez","lucas.gonzalez@email.com","5016","2024-01-30","Q901","Gaming Console","1","500.0","500.0","Gaming Console","Electronics","40"
"1017","Amelia Nguyen","amelia.nguyen@email.com","5017","2024-01-31","R234","Router","1","80.0","80.0","Router","Electronics","60"
"1018","Ethan Lee","ethan.lee@email.com","5018","2024-02-01","S567","Keyboard","2","70.0","140.0","Keyboard","Electronics","150"
"1019","Harper King","harper.king@email.com","5019","2024-02-02","T890","Mouse","3","20.0","60.0","Mouse","Electronics","200"
"1022","Michael Robinson","michael.robinson@email.com","5022","2024-02-05","W789","Bluetooth Earbuds","1","130.0","130.0","Bluetooth Earbuds","Electronics","70"
"1023","Ella Harris","ella.harris@email.com","5023","2024-02-06","X012","Smartwatch Charger","1","25.0","25.0","Smartwatch Charger","Accessories","150"
"1024","Daniel Garcia","daniel.garcia@email.com","5024","2024-02-07","Y345","Camera Lens","1","350.0","350.0","Camera Lens","Accessories","30"
"1025","Grace Martinez","grace.martinez@email.com","5025","2024-02-08","Z678","Tablet Stand","1","40.0","40.0","Tablet Stand","Accessories","80"
"1026","Samuel Young","samuel.young@email.com","5026","2024-02-09","A234","Desk Lamp","2","60.0","120.0","Desk Lamp","Furniture","50"
"1027","Avery Clark","avery.clark@email.com","5027","2024-02-10","B567","Office Chair","1","150.0","150.0","Office Chair","Furniture","20"
"1028","Sofia Walker","sofia.walker@email.com","5028","2024-02-11","C890","Desk Organizer","1","25.0","25.0","Desk Organizer","Furniture","100"
"1029","Levi Hall","levi.hall@email.com","5029","2024-02-12","D123","Laptop Stand","1","45.0","45.0","Laptop Stand","Furniture","70"
"1030","Benjamin Allen","benjamin.allen@email.com","5030","2024-02-13","E456","Monitor Stand","1","35.0","35.0","Monitor Stand","Furniture","90"
